gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId
22500461,2025-12-30 18:00:00,LA,Clippers,1610612746,Sacramento,Kings,1610612758,1,1,131,90,29,9,13,90,46,0.511,38,14,0.368,32,25,0.781,31,11,42,14,3,41,240,34,39,27,31,43,43,12,0,13,28,58,13,2,1,11,21,
22500461,2025-12-30 18:00:00,Sacramento,Kings,1610612758,LA,Clippers,1610612746,0,0,90,131,18,8,1,83,34,0.41,27,9,0.333,14,13,0.929,28,11,39,20,18,-41,240,20,20,31,19,47,0,8,0,10,4,46,10,2,0,8,25,
22500460,2025-12-30 17:30:00,Los Angeles,Lakers,1610612747,Detroit,Pistons,1610612765,1,0,106,128,28,3,10,82,37,0.451,39,11,0.282,31,21,0.677,22,11,33,24,20,-22,240,30,35,23,18,34,1,8,4,12,21,44,15,6,1,20,11,
22500460,2025-12-30 17:30:00,Detroit,Pistons,1610612765,Los Angeles,Lakers,1610612747,0,1,128,106,30,4,12,76,48,0.632,24,11,0.458,29,21,0.724,31,6,37,26,18,22,240,36,34,26,32,67,26,11,4,31,30,74,6,6,1,25,8,
22500459,2025-12-30 16:00:00,Boston,Celtics,1610612738,Utah,Jazz,1610612762,0,1,129,119,27,9,8,94,48,0.511,44,13,0.295,23,20,0.87,33,11,44,17,7,10,240,31,28,40,30,43,11,11,13,7,23,56,16,9,0,20,12,
22500459,2025-12-30 16:00:00,Utah,Jazz,1610612762,Boston,Celtics,1610612738,1,0,119,129,31,3,4,87,41,0.471,42,16,0.381,25,21,0.84,31,9,40,17,13,-10,240,38,26,32,23,26,12,8,13,12,5,46,12,9,1,12,20,
22500458,2025-12-30 15:00:00,Philadelphia,76ers,1610612755,Memphis,Grizzlies,1610612763,0,1,139,136,33,5,14,111,51,0.459,42,15,0.357,27,22,0.815,27,14,41,23,8,3,265,34,38,31,25,17,7,7,15,11,21,60,18,14,0,17,14,
22500458,2025-12-30 15:00:00,Memphis,Grizzlies,1610612763,Philadelphia,76ers,1610612755,1,0,136,139,28,10,2,92,51,0.554,29,11,0.379,26,23,0.885,42,9,51,18,20,-3,265,40,32,28,28,39,10,11,15,19,14,70,18,14,0,15,18,
22500457,2025-12-29 17:30:00,Dallas,Mavericks,1610612742,Portland,Trail Blazers,1610612757,0,0,122,125,33,7,6,91,46,0.505,32,11,0.344,24,19,0.792,33,8,41,19,12,-3,240,29,34,30,29,57,4,10,13,19,16,62,11,7,0,12,22,
22500457,2025-12-29 17:30:00,Portland,Trail Blazers,1610612757,Dallas,Mavericks,1610612742,1,1,125,122,27,3,3,97,46,0.474,41,16,0.39,22,17,0.773,31,17,48,24,15,3,240,42,33,22,28,41,17,11,13,7,12,48,26,7,0,14,19,
22500455,2025-12-29 15:00:00,Atlanta,Hawks,1610612737,Oklahoma City,Thunder,1610612760,0,0,129,140,32,4,11,97,46,0.474,54,25,0.463,17,12,0.706,28,10,38,20,16,-11,240,38,36,29,26,30,10,7,9,10,14,36,15,9,0,15,19,
22500456,2025-12-29 15:00:00,Cleveland,Cavaliers,1610612739,San Antonio,Spurs,1610612759,0,1,113,101,29,4,12,96,41,0.427,42,13,0.31,20,18,0.9,37,10,47,24,12,12,240,25,24,27,37,35,13,8,10,17,20,50,15,8,1,18,16,
22500454,2025-12-29 15:00:00,New Orleans,Pelicans,1610612740,New York,Knicks,1610612752,1,0,125,130,27,8,6,96,44,0.458,36,14,0.389,27,23,0.852,34,16,50,15,11,-5,240,41,34,28,22,35,10,9,12,10,13,54,18,6,0,8,26,
22500452,2025-12-29 15:00:00,Chicago,Bulls,1610612741,Minnesota,Timberwolves,1610612750,1,0,101,136,25,7,3,93,38,0.409,38,13,0.342,14,12,0.857,32,10,42,17,16,-35,240,23,27,28,23,50,9,6,6,12,7,50,17,4,1,15,17,
22500453,2025-12-29 15:00:00,Houston,Rockets,1610612745,Indiana,Pacers,1610612754,1,1,126,119,21,6,4,83,49,0.59,27,10,0.37,24,18,0.75,36,14,50,17,16,7,240,30,36,39,21,34,28,11,5,4,12,56,25,3,1,20,10,
22500452,2025-12-29 15:00:00,Minnesota,Timberwolves,1610612750,Chicago,Bulls,1610612741,0,1,136,101,32,9,9,95,51,0.537,37,15,0.405,25,19,0.76,39,7,46,12,3,35,240,21,34,40,41,68,41,12,6,20,24,60,10,4,1,21,12,
22500454,2025-12-29 15:00:00,New York,Knicks,1610612752,New Orleans,Pelicans,1610612740,0,1,130,125,35,4,8,95,46,0.484,44,20,0.455,19,18,0.947,32,10,42,19,8,5,240,37,35,24,34,43,5,8,12,16,12,42,13,6,0,23,9,
22500453,2025-12-29 15:00:00,Indiana,Pacers,1610612754,Houston,Rockets,1610612745,0,0,119,126,30,3,12,88,44,0.5,34,18,0.529,20,13,0.65,22,7,29,22,9,-7,240,25,23,30,41,54,2,10,5,26,37,48,9,3,0,6,27,
22500456,2025-12-29 15:00:00,San Antonio,Spurs,1610612759,Cleveland,Cavaliers,1610612739,1,0,101,113,21,2,7,83,32,0.386,31,7,0.226,36,30,0.833,42,10,52,17,18,-12,240,26,29,23,23,36,11,12,10,10,16,46,17,8,0,23,9,
22500455,2025-12-29 15:00:00,Oklahoma City,Thunder,1610612760,Atlanta,Hawks,1610612737,1,1,140,129,27,7,9,98,53,0.541,32,12,0.375,23,22,0.957,39,10,49,18,13,11,240,35,35,43,27,34,15,12,9,23,18,70,16,9,1,28,5,
