Date,Bet,Amount,Odds at purchase,Team 1,Team 2,Team 1 Score Calculated,Team 2 Score Calculated,Team 1 Real Score,Team 2 Real Score
12/03/2025,Under 234.5,$20,-120,Wizards,76ers,106.9675844,125.9650108,102,121
12/1/2025,Over 229.5,$20,-115,Suns,Lakers,129.759501,100.6854963,125,108
12/01/2025,Over 245.5,$20,-110,Rockets,Jazz,114.1845185,134.5146462,125,133
12/05/2025,Over 236.5,$25,-120,Trail Blazers,Pistons,116.4883213,124.8418927,116,122
12/05/2025,Under 248.5,$25,-110,Nuggets,Hawks,107.859071,139.8223028,134,133
12/04/2025,Over 243.5,$16,-110,Timberwolves,Pelicans,123.698114,122.138837,125,116
12/04/2025,Over 236.5,$10,-115,Celtics,Wizards,124.6586106,115.0286062,146,101
12/02/2025,Under 234.5,$20,-120,Wizards,76ers,106.9675844,125.9650108,102,121
12/06/2025,Under 245.5,$10,-120,Kings,Heat,137.547228,107.6595102,127,111
12/06/2025,Under 216.5,$10,-120,Clippers,Timberwolves,107.6595102,91.53463101,106,109
